pg_id,gamme,current_keyword_id,current_keyword,current_v_level,type_id,marque,modele,modele_id,modele_parent,type_name,type_fuel,relation,simulated_action,reason,source_type_id,source_v_level,source_keyword,risk
402,plaquette-de-frein,40766,plaquette de frein kangoo i 1.0 rn 16v,V5,52449,RENAULT,KANGOO I,140021,0,1.0 RN 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40404,plaquette de frein kangoo i 1.2 16v,V5,16209,RENAULT,KANGOO I,140021,0,1.2 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40402,plaquette de frein kangoo i 1.6 16v,V5,16205,RENAULT,KANGOO I,140021,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29685,plaquette de frein 2.0 cvt,V5,29952,RENAULT,MEGANE III,140049,0,2.0 CVT,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40634,plaquette de frein megane iii 2.0 cvt,V5,29952,RENAULT,MEGANE III,140049,0,2.0 CVT,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40578,plaquette de frein kangoo ii 1.6,V5,23460,RENAULT,KANGOO II,140023,0,1.6,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40579,plaquette de frein kangoo ii 1.6 16v,V5,23462,RENAULT,KANGOO II,140023,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40532,plaquette de frein c4 picasso i 1.8 16v,V5,19747,CITROËN,C4 PICASSO I,46032,0,1.8 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40533,plaquette de frein c4 picasso i 2.0 16v,V5,19748,CITROËN,C4 PICASSO I,46032,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29684,plaquette de frein 2.0 tce,V5,29951,RENAULT,MEGANE III,140049,0,2.0 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40635,plaquette de frein megane iii 1.4 tce,V5,29953,RENAULT,MEGANE III,140049,0,1.4 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40425,plaquette de frein megane iii 1.2 tce,V5,16982,RENAULT,MEGANE III,140049,0,1.2 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40632,plaquette de frein megane iii 1.6 16v,V5,29950,RENAULT,MEGANE III,140049,0,1.6 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40633,plaquette de frein megane iii 2.0 tce,V5,29951,RENAULT,MEGANE III,140049,0,2.0 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,40794,plaquette de frein megane iii 2.0 16v,V5,57686,RENAULT,MEGANE III,140049,0,2.0 16V,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
402,plaquette-de-frein,29686,plaquette de frein 1.4 tce,V5,29953,RENAULT,MEGANE III,140049,0,1.4 TCe,Essence,,REVIEW_OWNER,V5 sur modele root (pas de sibling meme-parent),,,,rule-nonconformant
